"National Cancer Institute (NCI)", 22
"National Institutes of Health Clinical Center (CC)", 16
"Pfizer", 7
"Novartis", 6
"Sanofi", 6
"AbCellera Biologics Inc.", 6
"National Institute of Allergy and Infectious Diseases (NIAID)", 6
"University of California, San Diego", 5
"National Institutes of Health (NIH)", 4
"Harvard School of Public Health", 4
"Coalition for Epidemic Preparedness Innovations (CEPI)", 4
"University of Toronto", 4
"Yale University", 4
"University of Pennsylvania", 4
"Renmin Hospital of Wuhan University", 4